Province,District,Year,Poverty Rate (%),Employment in agriculture (% of total employment)
Punjab,Nankana Sahib,2008-01-01,40.0,40.99
Punjab,Nankana Sahib,2010-01-01,32.0,35.37
Punjab,Nankana Sahib,2012-01-01,25.0,30.22
Punjab,Nankana Sahib,2014-01-01,22.0,34.8
Punjab,Narowal,2004-01-01,53.0,46.29
Punjab,Narowal,2006-01-01,49.0,43.09
Punjab,Narowal,2008-01-01,41.0,47.73
Punjab,Narowal,2010-01-01,31.0,42.24
Punjab,Narowal,2012-01-01,25.0,51.54
Punjab,Narowal,2014-01-01,21.0,44.56
Punjab,Okara,2004-01-01,56.0,57.06
Punjab,Okara,2006-01-01,55.0,57.93
Punjab,Okara,2008-01-01,45.0,57.21
Punjab,Okara,2010-01-01,36.0,55.58
Punjab,Okara,2012-01-01,29.0,60.6
Punjab,Okara,2014-01-01,28.0,55.46
Punjab,Pakpattan,2004-01-01,57.0,64.34
Punjab,Pakpattan,2006-01-01,53.0,56.48
Punjab,Pakpattan,2008-01-01,49.0,62.91
Punjab,Pakpattan,2010-01-01,40.0,63.06
Punjab,Pakpattan,2012-01-01,34.0,60.63
Punjab,Pakpattan,2014-01-01,30.0,63.0
Punjab,Rahim Yar Khan,2004-01-01,62.0,56.32
Punjab,Rahim Yar Khan,2006-01-01,63.0,55.61
Punjab,Rahim Yar Khan,2008-01-01,55.0,56.74
Punjab,Rahim Yar Khan,2010-01-01,46.0,65.85
Punjab,Rahim Yar Khan,2012-01-01,43.0,55.03
Punjab,Rahim Yar Khan,2014-01-01,39.0,59.49
Punjab,Rajanpur,2004-01-01,64.0,61.12
Punjab,Rajanpur,2006-01-01,66.0,73.97
Punjab,Rajanpur,2008-01-01,67.0,77.62
Punjab,Rajanpur,2010-01-01,55.0,75.94
Punjab,Rajanpur,2012-01-01,49.0,64.7
Punjab,Rajanpur,2014-01-01,41.0,74.29
Punjab,Rawalpindi,2004-01-01,33.0,13.94
Punjab,Rawalpindi,2006-01-01,22.0,15.49
Punjab,Rawalpindi,2008-01-01,16.0,12.89
Punjab,Rawalpindi,2010-01-01,18.0,15.99
Punjab,Rawalpindi,2012-01-01,15.0,12.78
Punjab,Rawalpindi,2014-01-01,11.0,11.13
Punjab,Sahiwal,2004-01-01,50.0,52.65
Punjab,Sahiwal,2006-01-01,49.0,54.23
Punjab,Sahiwal,2008-01-01,45.0,59.8
Punjab,Sahiwal,2010-01-01,32.0,58.04
Punjab,Sahiwal,2012-01-01,28.0,55.67
Punjab,Sahiwal,2014-01-01,25.0,53.21
Punjab,Sargodha,2004-01-01,51.0,30.64
Punjab,Sargodha,2006-01-01,42.0,30.96
Punjab,Sargodha,2008-01-01,31.0,29.57
Punjab,Sargodha,2010-01-01,29.0,34.52
Punjab,Sargodha,2012-01-01,24.0,28.49
